name,price,rating,description,actual_price,discounted_price,product_discount_percentage,breadcrumb,product_url
LOreal,Rs. 156,"4.4
|
9.1k",6 Oil Nourish Shampoo,Rs. 209,Rs. 156,(25% OFF),Personal Care,https://www.myntra.com/shampoo/loreal/loreal-paris-extraordinary-oil-nourishing-shampoo-for-dry--dull-hair---180ml/5711014/buy
Himalaya,Rs. 143,"4.5
|
30.9k",Neem Face Wash 150 ml,Rs. 205,Rs. 143,(30% OFF),Personal Care,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-purifying-neem-face-wash-for-acne-prone-skin-150-ml/6628442/buy
Biotique,Rs. 148,"4.5
|
38.5k",Skin Moisturizer 190ml,Rs. 330,Rs. 148,(55% OFF),Personal Care,https://www.myntra.com/day-cream/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy
SWISS BEAUTY,Rs. 155,"4.3
|
4.1k",Long Lash Mascara - Black,Rs. 299,Rs. 155,(48% OFF),Personal Care,https://www.myntra.com/mascara/swiss+beauty/-swiss-beauty-precision-thickening-long-lash-mascara---black/15580056/buy
Philips,Rs. 686,"4.2
|
3.1k",SkinProtect Beard Trimmer,Rs. 995,Rs. 686,(31% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-skinprotect-beard-trimmer-bt123218-last-4x-longer-self-sharpening-blades--blue/22358346/buy
Philips,Rs. 1690,"4.4
|
512",Women BRR454/00 Face Trimmer,Rs. 2195,Rs. 1690,(23% OFF),Personal Care,https://www.myntra.com/trimmer/philips/philips-facial-hair-remover-female-trimmer-brr45400-360-degree-hypoallergenic-head---pink/21396014/buy
Garnier,Rs. 174,"4.3
|
858",Hair Color-Golden Brown 7.3,Rs. 249,Rs. 174,(30% OFF),Personal Care,https://www.myntra.com/hair-colour/garnier/garnier-color-naturals-ultra-hair-color-55ml--50g---golden-brown-73/10696774/buy
Bella Vita Organic,Rs. 351,"4.3
|
5.6k",Pack of 10 Luxury EDP Gift Set,Rs. 399,Rs. 351,(12% OFF),Personal Care,https://www.myntra.com/perfume/bella+vita+organic/bella-vita-organic-pack-of-10-luxury-long-lasting-edp-fragrance-gift-set---5-ml-each/22358788/buy
The Derma co.,Rs. 216,"4.4
|
2.1k",10% Niacinamide Serum 10ml,Rs. 249,Rs. 216,(13% OFF),Personal Care,https://www.myntra.com/serum-and-gel/the+derma+co./the-derma-co-10-niacinamide-serum-for-acne-marks--oil-control---10ml/18000278/buy
Denver,Rs. 131,"4.4
|
17.8k",Men Hamilton Deodorant,Rs. 280,Rs. 131,(53% OFF),Personal Care,https://www.myntra.com/deodorant/denver/denver-men-hamilton-deodorant-127-g-200-ml/4374595/buy
Vaseline,Rs. 180,"4.6
|
8.8k",Cocoa Glow Body Lotion,Rs. 475,Rs. 180,(62% OFF),Personal Care,https://www.myntra.com/body-cream-and-lotion/vaseline/vaseline-intensive-care-cocoa-glow-body-lotion-400-ml/10443434/buy
Whisper,Rs. 390,"4.6
|
215",Skinlove XL Soft Sanitary Pads,Rs. 600,Rs. 390,(35% OFF),Personal Care,https://www.myntra.com/sanitary-napkins/whisper/whisper-ultra-skinlove-soft-thin-irritation-free-xl-sanitary-pads---50-pads/13335720/buy
Lifelong,Rs. 675,"4.1
|
3.9k",Cordless Beard Trimmer,Rs. 1500,Rs. 675,(55% OFF),Personal Care,https://www.myntra.com/trimmer/lifelong/lifelong-men-llpcm05-cordless-beard-trimmer---black/11838468/buy
